MLT,DP2,DP1
12.5,-0.0922451714151889,0.017134398353433514
13.5,-0.1562861007948511,0.06111729588942881
14.5,-0.17677411381322644,0.08712841639639812
15.5,-0.19906974132558203,0.0715877371816429
16.5,-0.14170354074849004,0.08366048075924064
17.5,-0.05897822125103165,0.1150483067052461
18.5,0.050580941339476604,0.19799365020254378
19.5,0.17132020924468078,0.3406299165503959
20.5,0.23489769240875846,0.45743995081415545
21.5,0.309705410445068,0.599007483341995
22.5,0.44324737217321475,0.6968646911321613
23.5,0.5154412227368614,0.7563385287530344
0.5,0.5550406677991995,0.6994230892359553
1.5,0.5805037349133223,0.5313044942737137
2.5,0.6043731403516581,0.3012851026903907
3.5,0.632583064890009,0.12598898639680242
4.5,0.6776531903376531,-0.07120077579350442
5.5,0.6375992012796217,-0.24238160056055819
6.5,0.5555959034748732,-0.31205934701331745
7.5,0.4535729533493691,-0.32803224742337367
8.5,0.3105217232330959,-0.3013755977773481
9.5,0.19756331972946392,-0.21561720829013403
10.5,0.09228351098139304,-0.15684187400082006
11.5,-0.005300934940088582,-0.060555865232299284
